name,country,city,employees,bucket,source,specialty,build_signal,source_url,oncology_tags,tier,score,score_breakdown,exclusion_reason,growth_12m_pct,growth_3m_pct,follower_growth_12m_pct,last_funding_round,last_funding_date,total_investment_usd,role_eng_pct,role_ops_pct,role_research_pct,role_qa_pct,rev_lower_usd,rev_higher_usd,founded_year,acquisition_status,ipo_date,follower_count,linkedin_id_resolved
Immatics,DEU,Tübingen,617,"atmp_cell_gene,late_stage_biotech",crustdata+research+research+research,Biotechnology Research / Immatics is committed to making a meaningful impact on the lives of patients wit,Ph3 SUPRAME initiated Dec 2024; interim/final PFS 2026; planned BLA H1 2027,http://www.immatics.com,"oncology_celltherapy,oncology_general",Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,3.697478991596639,0.8169934640522877,23.6193472911372,post_ipo_equity,2025-12-05,1041233156,,,,,50000000,100000000,2000,,2020-07-02,30644,706777
Novartis CAR-T Stein (Kymriah),CHE,Stein (AG),~600,atmp_cell_gene,research,Autologous CAR-T commercial (Kymriah),2024 capacity ramp post-EMA Europe-only manufacturing approval,https://www.novartis.com,oncology_celltherapy,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,100.0,0.0,0.0,,,,,,,,0,0,,,,134,110200736
DFE Pharma,DEU,Goch,574,"originator_pharma,sterile_generics",crustdata,Pharmaceutical Manufacturing / DFE Pharma is a global leader in pharmaceutical excipient solutions. We  develop,10.81081081081081% growth,http://www.dfepharma.com,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,10.81081081081081,2.135231316725979,14.306910493712675,private_equity,2019-09-25,0,,,,,50000000,100000000,2005,,,30816,2266410
ratiopharm,DEU,Ulm,574,"oncology_hpapi,originator_pharma,sterile_generics",crustdata+research,Pharmaceutical Manufacturing / About ratiopharmratiopharm became known as the first generics company in Europe.,EUR 50M Ulm packaging + sterile QC upgrade 2024,https://www.ratiopharm.de,,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,0.7017543859649122,-0.17391304347826086,6.427895464803086,,,0,,,,,500000000,1000000000,1973,,,14620,12856
EVER Pharma,AUT,Unterach am Attersee,559,"specialty_orphan,sterile_generics",crustdata+research,Pharmaceutical Manufacturing / EVER Pharma is a fully integrated specialty pharmaceuticals company focused on t,3.5185185185185186% growth,http://www.everpharma.com,oncology_general,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,3.5185185185185186,0.9025270758122743,19.50116309123805,,,0,,,,,50000000,100000000,1934,,,9247,2851392
SOLEVO Group,CHE,Le Grand-Saconnex,559,oncology_hpapi,crustdata,chemical manufacturing / SOLEVO is a leading specialty chemicals distribution platform and partner to far,,http://www.solevogroup.com,,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,12.474849094567404,0.7207207207207207,39.64906061680255,,,0,,,,,20000000,50000000,2017,acquired,,70911,11459367
Gebro Pharma GmbH,AUT,Fieberbrunn,550,sterile_generics,research,"Sterile ampoules, hospital products",EUR 30M Fieberbrunn aseptic upgrade 2025,gebro.com,,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,-5.263157894736842,1.8867924528301887,34.4390243902439,,,0,,,,,20000000,50000000,1947,,,1378,20498848
Nordmark Pharma,DEU,Uetersen,~550,originator_pharma,research,"Pancreatin, collagenase (biopharma)",Biotech expansion ongoing; novel microbial lipase pipeline,https://www.nordmark-pharma.de/en/,,Tier 1,7,industry=2/3 capability=2/2 size=2/2 trigger=1/2,,8.796296296296296,1.7316017316017316,38.11714198098743,,,0,,,,,500000000,1000000000,2001,,,4504,660722
Pierre Fabre Pharma GmbH,DEU,Freiburg,550,sterile_generics,research,,EUR 30M Freiburg cytotoxic line 2024,pierre-fabre.com,cytostatika_hpapi,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,0.0,0.0,0.0,,,,,,,,0,0,,,,12,51748260
SOPHiA GENETICS,CHE,Tartegnin,522,late_stage_biotech,crustdata,Biotechnology Research / SOPHiA GENETICS was founded in 2011 by biologists who had a vision to create a t,5.668016194331984% growth,http://www.sophiagenetics.com/,oncology_general,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,5.668016194331984,0.9671179883945842,15.978150123718931,post_ipo_debt,2024-05-02,265152150,,,,,50000000,100000000,2011,,2021-07-23,135459,3249896
Cheplapharm Greifswald,DEU,Greifswald,~500,sterile_generics,research,"Legacy sterile injectables (oncology, niche hospital)",,https://www.cheplapharm.com,oncology_general,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,5.274725274725275,1.9148936170212765,37.398251432016885,debt_financing,2025-06-18,3422433971,,,,,500000000,1000000000,1998,,,9115,12487902
Cilag AG (J&J) Schaffhausen,CHE,Schaffhausen,~500,sterile_generics,research,Sterile biologics & injectables (cap at scope edge),,https://www.cilag.ch,,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,,,,,,,,,,,,,,,,,
Fresenius Kabi Friedberg site,DEU,Friedberg (Hessen),~500,sterile_generics,research,"Oncology sterile injectables, hospital admixtures",,https://www.fresenius-kabi.com,oncology_general,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,33.33333333333333,9.090909090909092,0.0,,,,,,,,0,0,1997,,,158,109868953
Vetter Pharma Ravensburg (small site),DEU,Ravensburg,~500 (site),sterile_generics,research,"Aseptic prefilled syringes, cartridges (CDMO)",,https://www.vetter-pharma.com,,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,8.170515097690942,2.1812080536912752,36.0212641099106,,,0,,,,,1000000000,1000000000000,1950,,,39404,794599
Debiopharm,CHE,Lausanne,473,oncology_hpapi,crustdata,pharmaceutical manufacturing / Bridging the gap between disruptive discovery products and real-world patient re,,http://www.debiopharm.com,"adc,cytostatika_hpapi,oncology_general,radiopharma",Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,-3.4693877551020407,1.284796573875803,19.083331085273407,grant,2021-10-19,4700000,,,,,50000000,100000000,1979,,,44143,32979
CENTOGENE,DEU,Rostock,458,"late_stage_biotech,specialty_orphan",crustdata,Biotechnology Research / CENTOGENE is a leading company in the field of genetic diagnostics and precision,13.086419753086421% growth,https://www.centogene.com/,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,13.086419753086421,3.3860045146726865,31.895549527528544,post_ipo_debt,2023-06-28,224933433,,,,,500000000,1000000000,2006,,2019-11-07,44247,1318599
Haupt Pharma Wolfratshausen (Aenova),DEU,Wolfratshausen,~400,sterile_generics,research,"Aseptic small-volume parenterals, cytotoxics",,https://www.aenova-group.com,,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,7.698541329011345,0.834597875569044,0.0,,,0,,,,,500000000,1000000000,2008,acquired,,28420,5266319
Octapharma HQ Lachen,CHE,Lachen SZ,"~400 (HQ; 12,000 group)",plasma_fractionation,research,"Group HQ, R&D, regulatory; fractionation in AT/DE/FR/SE",Funds group-wide capex; Vienna EUR 200 M and Springe expansions are HQ-driven; FY24 group revenues EUR 3.6 B,https://en.wikipedia.org/wiki/Octapharma,,Tier 1,7,industry=3/3 capability=0/2 size=2/2 trigger=2/2,,,,,,,,,,,,,,,,,,
Takeda Orth a.d. Donau,AUT,Orth an der Donau,~400,plasma_fractionation,research,Global QC laboratory — 40+ biologics/plasma products tested,QC lab capacity build-out supporting Vienna/Linz throughput,https://jobs.takeda.com/austria,,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,,,,,,,,,,,,,,,,,
Heraeus Precious Metals,DEU,Hanau am Main,385,oncology_hpapi,crustdata,chemical manufacturing / Heraeus Precious Metals is globally leading in the precious metals industry. The,,http://www.heraeus-precious-metals.com,"cytostatika_hpapi,oncology_general",Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,8.146067415730338,2.666666666666667,72.78608976951072,,,0,,,,,500000000,1000000000,,,,4273,90616874
Dr. Falk Pharma,DEU,Freiburg,380,"originator_pharma,specialty_orphan",crustdata+research,Pharmaceutical Manufacturing / Dr. Falk Pharma GmbH has been developing and marketing innovative medicines to t,EUR 40M Freiburg solid-dose expansion 2025,http://www.drfalkpharma.de,,Tier 1,7,industry=2/3 capability=1/2 size=2/2 trigger=2/2,,17.647058823529413,1.3333333333333335,44.911504424778755,,,0,,,,,50000000,100000000,,,,9825,152904
Rottendorf Pharma,DEU,Ennigerloh,375,cdmo_classic,crustdata,"Pharmaceutical Manufacturing / A first-class contract development and manufacturing organization (CDMO), Rotten",7.4498567335243555% growth,https://rottendorf.com/contact,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,7.4498567335243555,1.9021739130434785,46.02463605823068,,,0,,,,,500000000,1000000000,1928,,,5216,11758834
SOTAX Group,CHE,Aesch,374,cdmo_classic,crustdata,"Pharmaceutical Manufacturing / Since 1973, SOTAX is at the forefront of pharmaceutical testing innovation suppo",2.185792349726776% growth,http://www.sotax.com,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,2.185792349726776,-1.3192612137203166,26.96913864578535,,,0,,,,,50000000,100000000,1973,,,11026,298596
Eurofins BioPharma Product Testing Germany,DEU,Krailling,339,"bioprocess_vendors,veterinary_pharma",crustdata+research,Pharmaceutical Manufacturing / Welcome to the corporate page of the Eurofins BioPharma Product Testing (BPT) la,-8.130081300813007% growth,https://www.eurofins.de/biopharma-product-testing/,,Tier 1,7,industry=2/3 capability=2/2 size=2/2 trigger=1/2,,-8.130081300813007,-1.4534883720930232,0.0,,,0,,,,,500000000,1000000000,1987,,,11303,18445679
BioSpring GmbH,DEU,Frankfurt,338,cdmo_classic,crustdata,"Pharmaceutical Manufacturing / BioSpring GmbH is one of the pioneers in the oligonucleotide CDMO industry, with",-14.430379746835442% growth,https://www.biospring.net,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,-14.430379746835442,-5.322128851540616,38.53211009174312,,,0,,,,,500000000,1000000000,1997,,,10570,14793435
Henry Schein Animal Health Deutschland GmbH,DEU,Hamburg + Munich logistics,~330 (DACH distribution + repack),veterinary_pharma,research,"Distribution + private-label vet pharma, repackaging GMP",Hamburg GMP repack expansion 2024 (EUR 6 m),https://www.henryschein.de,,Tier 1,7,industry=2/3 capability=1/2 size=2/2 trigger=2/2,,7.142857142857142,0.0,15.151515151515152,,,0,,,,,0,0,1983,,,38,41056403
Pharmalys Laboratories,CHE,Hochdorf,327,cdmo_classic,crustdata,"Pharmaceutical Manufacturing / At Pharmalys Laboratories, we take pride in our Swiss heritage and our commitmen",7.213114754098362% growth,https://www.pharmalyslabs.com,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,7.213114754098362,-1.2084592145015105,40.274599542334094,,,0,,,,,500000000,1000000000,2009,,,7969,68561480
KD Pharma Group,CHE,Bioggio,326,cdmo_classic,crustdata,Pharmaceutical Manufacturing / KD Pharma Group | Creating Health SolutionsThe KD Pharma Group is a CDMO that de,-0.911854103343465% growth,https://www.kdpharmagroup.com,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,-0.911854103343465,0.9287925696594427,46.03653427182839,debt_financing,2024-10-02,198837024,,,,,50000000,100000000,1988,acquired,,8714,3144703
LTS Lohmann Therapie-Systeme AG,DEU,Andernach,324,cdmo_classic,crustdata,"Pharmaceutical Manufacturing / At LTS, our purpose drives everything we do: We CARE for patients, our partners ",5.88235294117647% growth,http://www.ltslohmann.com,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,5.88235294117647,-2.9940119760479043,31.594064145524175,grant,2023-12-19,5500000,,,,,500000000,1000000000,1984,acquired,,5498,10877930
Adragos Pharma,DEU,Munich,304,"cdmo_classic,medical_cannabis,vaccines",crustdata+research+research,Pharmaceutical Manufacturing / Adragos Pharma is an internationally operating contract development and manufact,11.355311355311356% growth,https://www.adragos-pharma.com/,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,11.355311355311356,5.923344947735192,27.00278995615783,series_unknown,2020-07-01,0,,,,,500000000,1000000000,2020,acquired,,19119,68553372
Zentiva Pharma GmbH (DE site),DEU,Frankfurt am Main,~300,sterile_generics,research,"Generic sterile injectables, hospital products",,https://www.zentiva.com,,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,29.658886894075405,24.775397373876988,23.135498071300734,,,0,,,,,500000000,1000000000,2003,acquired,2008-02-18,110769,25408
Friedrich-Loeffler-Institut,DEU,Greifswald,296,"academic_gmp,veterinary_pharma",crustdata+research+research,"Research Services / As Federal Research Institute for Animal Health, the Friedrich-Loeffler-Institut",EUR 300 m BSL-4 expansion 2024-2027 (federal),http://www.fli.de,,Tier 1,7,industry=2/3 capability=1/2 size=2/2 trigger=2/2,,-1.0033444816053512,0.0,0.0,,,0,,,,,0,0,1910,,,6286,74872526
nilo,DEU,Berlin,276,oncology_hpapi,crustdata,mental health care / nilo delivers high-quality mental health support that creates real impact – for ,,https://nilohealth.com,,Excluded,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,industrial_false_positive,18.4549356223176,4.545454545454546,31.23623781063227,seed,2022-05-23,9076755,,,,,10000000,20000000,2019,,,20860,30153455
ADA Cosmetics,DEU,Kehl,259,oncology_hpapi,crustdata,personal care product manufacturing / ADA Cosmetics has been developing and producing high-end cosmetics and dispensin,,https://ada-cosmetics.com,,Excluded,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,industrial_false_positive,4.435483870967742,1.171875,190.41671670469557,,,0,,,,,500000000,1000000000,1979,acquired,,24183,25038595
Fraunhofer IZI,DEU,Leipzig,258,"academic_gmp,atmp_cell_gene",crustdata+research+research,Biotechnology Research / The Fraunhofer Institute for Cell Therapy and Immunology IZI investigates and de,2024 ATMP-Sachsen cluster lead; new vector hall,http://www.izi.fraunhofer.de,"oncology_celltherapy,oncology_general",Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,0.38910505836575876,-1.5267175572519083,50.25661271219898,,,,,,,,500000000,1000000000,2005,,,7612,612078
Losan Pharma GmbH,DEU,Neuenburg,256,cdmo_classic,crustdata,Pharmaceutical Manufacturing / Your business partner in Pharma Technology.Contract Manufacturing in compliance ,3.225806451612903% growth,https://www.losan-pharma.de/,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,3.225806451612903,1.5873015873015872,36.655069582504964,,,0,,,,,500000000,1000000000,1992,,,5499,2207380
Pint Pharma,AUT,Vienna,256,specialty_orphan,crustdata,Pharmaceutical Manufacturing / Pint Pharma is a biopharmaceutical company that specialises in the commercialisa,-0.7751937984496124% growth,http://www.pint-pharma.com,oncology_general,Tier 1,7,industry=2/3 capability=2/2 size=2/2 trigger=1/2,,-0.7751937984496124,-0.7751937984496124,18.025873368667007,,,0,,,,,50000000,100000000,,,,20710,25053014
Polichem / Almirall Hermal sterile site,DEU,Reinbek,~250,sterile_generics,research,Dermo sterile injectables / topicals,,https://www.almirall.com,,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,,,0.0,,,,,,,,500000,1000000,,,,55,35534528
Resilience (ex-Apceth Bio),DEU,Munich / Ottobrunn,~250 (DE),atmp_cell_gene,research,"Autologous CAR-T, gene-modified MSCs, viral vector","2024 Resilience integration, capacity ramp for client CAR-T programs",https://resilience.com,oncology_celltherapy,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,-8.823529411764707,-3.125,2.0452567449956485,grant,2018-08-17,8400000,,,,,500000000,1000000000,1999,acquired,,4690,27108331
Haema Blood Donation Service,DEU,Leipzig,223,plasma_fractionation,crustdata,Pharmaceutical Manufacturing / In Haema everyone has a job with a cause!Are you passionate about making a diffe,10.396039603960396% growth,https://www.haema.de/karriere/,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,10.396039603960396,2.7649769585253456,40.10526315789474,,,0,,,,,500000000,1000000000,1993,,,2662,3849250
MorphoSys,DEU,Krailling,208,late_stage_biotech,crustdata,"Biotechnology Research / For additional information on our community guidelines, please visit https://www",-45.69190600522193% growth,http://www.morphosys.com,oncology_general,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,-45.69190600522193,-9.170305676855897,4.173280975854291,post_ipo_equity,2023-12-14,748107344,,,,,500000000,1000000000,1992,acquired,1999-03-09,24937,37739
Axolabs,DEU,Kulmbach,199,atmp_cell_gene,crustdata,Biotechnology Research / Axolabs specialises in a new class of drugs whose active ingredients are chemica,4.18848167539267% growth,http://www.axolabs.com,,Tier 1,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,4.18848167539267,1.530612244897959,54.90820532034469,,,0,,,,,20000000,50000000,2011,acquired,,8269,8087075
Coriolis Pharma,DEU,Krailling,185,"atmp_cell_gene,cdmo_classic,vaccines",crustdata,Pharmaceutical Manufacturing / Coriolis Pharma is a globally operating and science driven contract research and,5.714285714285714% growth,https://www.coriolis-pharma.com,,Tier 1,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,5.714285714285714,3.932584269662921,50.955414012738856,corporate_round,2023-10-16,0,,,,,20000000,50000000,2008,,,13983,1289842
Richter BioLogics,DEU,Hamburg,180,"cdmo_classic,vaccines",crustdata,Biotechnology Research / Richter BioLogics is a world-class and expanding cGMP contract manufacturer (CDM,2.857142857142857% growth,https://www.richterbiologics.eu,,Tier 1,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,2.857142857142857,-2.1739130434782608,35.61507936507937,,,0,,,,,20000000,50000000,1987,,,4101,41241729
Miltenyi Biomedicine,DEU,Bergisch Gladbach,173,atmp_cell_gene,crustdata,Pharmaceutical Manufacturing / Miltenyi Biomedicine is a biopharmaceutical company that develops innovative cel,28.14814814814815% growth,http://www.miltenyibiomedicine.com,"oncology_celltherapy,oncology_general",Tier 1,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,28.14814814814815,2.976190476190476,82.48509857863365,,,0,,,,,10000000,20000000,2019,,,7960,71723627
Cerbios-Pharma SA,CHE,Lugano,163,"cdmo_classic,oncology_hpapi,plasma_fractionation,veterinary_pharma",crustdata,"Pharmaceutical Manufacturing / Cerbios-Pharma SA | A HAS Group CompanyWe are a leading CDMO, uniquely integrati",0.0% growth,http://www.cerbios.ch,"adc,cytostatika_hpapi,oncology_general",Tier 1,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,0.0,-1.2121212121212122,23.763648041104688,,,0,,,,,20000000,50000000,1976,,,19270,307119
Single Use Support,AUT,Kufstein,162,"bioprocess_vendors,cdmo_classic,vaccines",crustdata+research+research,Biotechnology Research / Pioneering Biopharma: Single Use Support provides innovative fluid and cold chai,14.893617021276595% growth,https://www.susupport.com,adc,Tier 1,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,14.893617021276595,8.724832214765101,17.596511478773888,secondary_market,2021-01-14,0,,,,,10000000,20000000,2016,acquired,,9169,27046999
